客先№ ,会社名,〒,住所１,住所２,℡,FAX,所属№,所属名,営業所№,営業所名,国№,国名,地区№,地区名,地区
70199-98,ヤマト運輸㈱　福山北営業所止メ,720-1141,広島県福山市駅家町江良６３２－１,(ｾﾝﾀｰｺｰﾄﾞ:070821),0570-200-000,0824-62-3061,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70405-40,ヤマト運輸㈱　東酒屋営業所止メ,728-0023,広島県三次市東酒屋町３０６－６６,(ｾﾝﾀｰｺｰﾄﾞ:071092),0570-200-000,0824-62-3061,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70446-13,ヤマト運輸㈱　広島本郷営業所止メ,729-0413,広島県三原市南方2-6-20,(ｾﾝﾀｰｺｰﾄﾞ:071120),082-874-6320,0824-62-3061,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70353-99,ヤマト運輸㈱　広島中野営業所止メ,739-0323,広島県広島市安芸区中野東２－５－２７,(ｾﾝﾀｰｺｰﾄﾞ:072061),0570-200-000,082-849-0090,222010,広島営業所,201,大阪,101,日本,61,広島,広島県
70353-01,ヤマト運輸㈱　広島安佐南営業所止メ,731-0113,広島県広島市安佐南区西原９－６－３６,(ｾﾝﾀｰｺｰﾄﾞ:072083),0570-200-000,082-849-0090,222010,広島営業所,201,大阪,101,日本,61,広島,広島県
70404-18,ヤマト運輸㈱　広島安佐南営業所止メ,731-0113,広島県広島市安佐南区西原９－６－３６,(ｾﾝﾀｰｺｰﾄﾞ:072083),0570-200-000,082-849-0090,222010,広島営業所,201,大阪,101,日本,61,広島,広島県
70199-59,ヤマト運輸㈱　広島西営業所止メ,733-0035,広島県広島市西区南観音７－１２－１７,(ｾﾝﾀｰｺｰﾄﾞ:072115),0570-200-000,082-849-0090,222010,広島営業所,201,大阪,101,日本,61,広島,広島県
70404-21,ヤマト運輸㈱　広島商工営業所止メ,733-0833,広島県広島市西区商工センタ－１－７－２７,(ｾﾝﾀｰｺｰﾄﾞ:072200),0570-200-000,082-849-0090,222010,広島営業所,201,大阪,101,日本,61,広島,広島県
70353-00,ヤマト運輸㈱　広島西原営業所止メ,731-0113,広島県広島市安佐南区西原２－６－１２,(ｾﾝﾀｰｺｰﾄﾞ:072230),0570-200-000,082-849-0090,222010,広島営業所,201,大阪,101,日本,61,広島,広島県
70199-28,ヤマト運輸㈱広島府中館内センター止メ,735-0021,広島県安芸郡府中町大須２－１－１イオンモール広島府中内,(ｾﾝﾀｰｺｰﾄﾞ:072611),0570-200-000,082-849-0090,222010,広島営業所,202,広島,101,日本,61,広島,広島県
70405-43,ヤマト運輸㈱　山口法人営業支店止メ,747-1221,山口県山口市鋳銭司字鋳銭司団地北10447-45山口主管支店内,(ｾﾝﾀｰｺｰﾄﾞ:073600),082-874-6320,083-986-3815,222010,広島営業所,202,広島,101,日本,64,山口,山口県
70353-05,ヤマト運輸㈱　山口ベース止メ,747-1221,山口県山口市鋳銭司字鋳銭司団地北１０４４７－４５,(ｾﾝﾀｰｺｰﾄﾞ:073990),0570-200-000,083-986-3820,222010,広島営業所,202,広島,101,日本,64,山口,山口県
70405-06,ヤマト運輸㈱　出雲営業所（渡橋）止メ,693-0004,島根県出雲市渡橋町１０５３－１,(ｾﾝﾀｰｺｰﾄﾞ:075112),0570-200-000,0824-62-3061,221010,大阪支店,201,大阪,101,日本,63,島根,島根県
70199-51,ヤマト運輸㈱　鳥取中央営業所止メ,680-0911,鳥取県鳥取市千代水３－３０,(ｾﾝﾀｰｺｰﾄﾞ:077010),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,62,鳥取,鳥取県
70353-65,ヤマト運輸㈱　鳥取東営業所止メ,680-0912,鳥取県鳥取市商栄町２５１－１１,(ｾﾝﾀｰｺｰﾄﾞ:077013),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,62,鳥取,鳥取県
70516-20,ヤマト運輸㈱　鳥取中央営業所止メ,680-0911,鳥取県鳥取市千代水３－３０,(ｾﾝﾀｰｺｰﾄﾞ:077017),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,62,鳥取,鳥取県
70353-82,ヤマト運輸㈱　米子営業所止メ,683-0804,鳥取県米子市米原８－１５－１６,(ｾﾝﾀｰｺｰﾄﾞ:077032),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,62,鳥取,鳥取県
70353-38,ヤマト運輸㈱　津山東営業所止メ,708-1126,岡山県津山市押入１１４－１,(ｾﾝﾀｰｺｰﾄﾞ:077093),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,60,岡山,岡山県
70199-38,ヤマト運輸㈱　赤磐営業所止メ,701-2222,岡山県赤磐市町苅田８１３－１,(ｾﾝﾀｰｺｰﾄﾞ:077150),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,60,岡山,岡山県
70404-23,ヤマト運輸㈱　赤磐吉井営業所止メ,701-2504,岡山県赤磐市福田３２６－１,(ｾﾝﾀｰｺｰﾄﾞ:077153),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,60,岡山,岡山県
70404-34,ヤマト運輸㈱　松江橋南営業所止メ,690-0017,島根県松江市西津田１－４－２４,(ｾﾝﾀｰｺｰﾄﾞ:077210),0570-200-000,0868-54-7166,221010,大阪支店,201,大阪,101,日本,63,島根,島根県
70446-51,ヤマト運輸㈱　香川東営業所止メ,769-2402,香川県さぬき市津田町鶴羽字薬師堂１６８－１,(ｾﾝﾀｰｺｰﾄﾞ:080070),0570-200-000,0877-45-5774,222010,広島営業所,202,広島,101,日本,71,香川,香川県
70354-04,ヤマト運輸㈱　坂出営業所止メ,769-0221,香川県綾歌郡宇多津町字吉田４００１,(ｾﾝﾀｰｺｰﾄﾞ:080120),0570-200-000,0877-45-5774,222010,広島営業所,201,大阪,101,日本,71,香川,香川県
70200-59,ヤマト運輸㈱ 四国中央営業所止メ,799-0113,愛媛県四国中央市妻鳥町１７１９－１,(ｾﾝﾀｰｺｰﾄﾞ:080220),0570-200-000,0877-45-5774,221010,大阪支店,201,大阪,101,日本,73,愛媛,愛媛県
70404-88,ヤマト運輸㈱　四国中央西営業所止メ,799-0704,愛媛県四国中央市土居町津根３６９１－１,(ｾﾝﾀｰｺｰﾄﾞ:080221),0570-200-000,0877-45-5774,221010,大阪支店,201,大阪,101,日本,73,愛媛,愛媛県
70353-57,ヤマト運輸㈱　鳴門営業所（撫養）止メ,772-0011,徳島県鳴門市撫養町大桑島字北之浜６１,(ｾﾝﾀｰｺｰﾄﾞ:082061),0570-200-000,088-699-7571,221010,大阪支店,201,大阪,101,日本,72,徳島,徳島県
70199-30,ヤマト運輸㈱吉野川営業所（鴨島）止メ,776-0020,徳島県吉野川市鴨島町西麻植字絵馬堂３０,(ｾﾝﾀｰｺｰﾄﾞ:082080),0570-200-000,088-699-7571,221010,大阪支店,201,大阪,101,日本,72,徳島,徳島県
70446-69,ヤマト運輸小松島営業所（金磯）止メ,773-0007,徳島県小松島市金磯町字土手町２２－１,(ｾﾝﾀｰｺｰﾄﾞ:082130),0570-200-000,088-699-7571,221010,大阪支店,201,大阪,101,日本,72,徳島,徳島県
70353-59,ヤマト運輸㈱　福岡粕屋営業所,812-0065,福岡県福岡市東区二又瀬新町８－４５,(ｾﾝﾀｰｺｰﾄﾞ:090170),0570-200-000,092-939-3981,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70199-82,ヤマト運輸㈱　博多駅中央街営業所止メ,812-0012,福岡県福岡市博多区博多駅中央街１－１,(ｾﾝﾀｰｺｰﾄﾞ:090302),0570-200-000,092-939-3981,223010,福岡営業所,203,福岡,101,日本,83,福岡,福岡県
70353-42,ヤマト運輸㈱　福岡空港センター止メ,812-0002,福岡県福岡市博多区空港前１－６－１４,(ｾﾝﾀｰｺｰﾄﾞ:090590),0570-200-000,092-939-3981,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70353-11,ヤマト運輸㈱　八幡本城営業所止メ,807-0801,福岡県北九州市八幡西区大字本城字清水１９３７－５,(ｾﾝﾀｰｺｰﾄﾞ:091041),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70353-10,ヤマト運輸㈱　小倉東営業所止メ,800-0206,福岡県北九州市小倉南区葛原東５－１５－１北九州主管支店内,(ｾﾝﾀｰｺｰﾄﾞ:091052),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70199-68,ヤマト運輸㈱　豊前営業所止メ,828-0021,福岡県豊前市大字八屋５９－２,(ｾﾝﾀｰｺｰﾄﾞ:091120),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70199-61,ヤマト運輸㈱　小倉西港営業所止メ,803-0801,福岡県北九州市小倉北区西港町８４－１,(ｾﾝﾀｰｺｰﾄﾞ:091180),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70019-14,ヤマト運輸㈱　八幡南営業所止メ,807-1122,福岡県北九州市八幡西区東石坂町６－１６,(ｾﾝﾀｰｺｰﾄﾞ:091340),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70446-06,ヤマト運輸㈱　小倉朽網営業所止メ,800-0232,福岡県北九州市小倉南区朽網東２－３－２０,(ｾﾝﾀｰｺｰﾄﾞ:091351),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70199-49,ヤマト運輸㈱　古賀営業所止メ,811-3103,福岡県古賀市中央１丁目３－５,(ｾﾝﾀｰｺｰﾄﾞ:091522),0570-200-000,093-475-8014,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70353-97,ヤマト運輸㈱　益城営業所止メ,861-2212,熊本県上益城郡益城町大字平田字深迫２４４１－２熊本主管支店,(ｾﾝﾀｰｺｰﾄﾞ:094151),0570-200-000,096-287-8070,223010,福岡営業所,203,福岡,101,日本,84,熊本,熊本県
70199-69,ヤマト運輸㈱　大分宇佐営業所止メ,879-1135,大分県宇佐市大字和気１２５０－１,(ｾﾝﾀｰｺｰﾄﾞ:095010),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70404-71,ヤマト運輸㈱　大分宇佐営業所止メ,879-1135,大分県宇佐市大字和気１２５０－１,(ｾﾝﾀｰｺｰﾄﾞ:095010),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70405-76,ヤマト運輸㈱　大分宇佐営業所止メ,879-1135,大分県宇佐市大字和気１２５０－１,(ｾﾝﾀｰｺｰﾄﾞ:095010),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70582-00,ヤマト運輸㈱　大分宇佐営業所止メ,879-1135,大分県宇佐市大字和気１２５０－１,(ｾﾝﾀｰｺｰﾄﾞ:095010),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70353-37,ヤマト運輸㈱　豊後高田営業所止メ,879-0608,大分県豊後高田市大字呉崎字下福有１８２６,(ｾﾝﾀｰｺｰﾄﾞ:095170),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70404-01,ヤマト運輸㈱　大分駅前営業所止メ,870-0017,大分県大分市弁天２丁目５番５号,(ｾﾝﾀｰｺｰﾄﾞ:095200),0570-200-000,097-514-3031,223010,福岡営業所,203,福岡,101,日本,83,大分,大分県
70405-81,ヤマト運輸㈱　東大阪近大前営業所止メ,577-0814,大阪府東大阪市南上小阪８番４号,(ｾﾝﾀｰｺｰﾄﾞ:160173),0570-200-000,06-6904-7571,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70353-21,ヤマト運輸㈱　東大阪長田営業所止メ,577-0053,大阪府東大阪市高井田２３－２０,(ｾﾝﾀｰｺｰﾄﾞ:160181),0570-200-000,06-6904-7571,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70353-44,ヤマト運輸㈱　大東営業所止メ,574-0045,大阪府大東市太子田３－３－２６,(ｾﾝﾀｰｺｰﾄﾞ:160560),0570-200-000,06-6904-7571,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70199-58,ヤマト運輸㈱　松原営業所（三宅）止メ,580-0046,大阪府松原市三宅中６－１０,(ｾﾝﾀｰｺｰﾄﾞ:160650),0570-200-000,06-6904-7571,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70404-17,ヤマト運輸㈱　枚方南営業所止メ,573-0042,大阪府枚方市村野西町２－２０,(ｾﾝﾀｰｺｰﾄﾞ:160761),0570-200-000,06-6904-7571,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70353-24,ヤマト運輸㈱　淀川中央営業所止メ,532-0005,大阪府大阪市淀川区三国本町２－１２－１６,(ｾﾝﾀｰｺｰﾄﾞ:161274),0570-200-000,06-6465-6810,221010,大阪支店,201,大阪,101,日本,51,京都,大阪府
70446-84,ヤマト運輸㈱　城東営業所（古市）止メ,536-0001,大阪府大阪市城東区古市1-4-35,(ｾﾝﾀｰｺｰﾄﾞ:161420),06-4255-8811,06-6423-9746,221010,大阪支店,201,大阪,101,日本,54,大阪,大阪府
70353-14,ヤマト運輸㈱　西宇治営業所止メ,611-0043,京都府宇治市伊勢田町砂田１４８－１,(ｾﾝﾀｰｺｰﾄﾞ:162010),0570-200-000,075-604-4863,225010,滋賀営業所,205,滋賀,101,日本,51,京都,京都府
70353-19,ヤマト運輸㈱　京田辺営業所止メ,610-0332,京都府京田辺市興戸犬伏３３－１,(ｾﾝﾀｰｺｰﾄﾞ:162171),0570-200-000,075-604-4863,225010,滋賀営業所,205,滋賀,101,日本,51,京都,京都府
70354-11,ヤマト運輸㈱　八幡営業所止メ,614-8045,京都府八幡市八幡久保田１１,(ｾﾝﾀｰｺｰﾄﾞ:162181),0570-200-000,075-604-4863,221010,大阪支店,201,大阪,101,日本,51,京都,京都府
70353-43,ヤマト運輸㈱　大牟田営業所止メ,836-0003,福岡県大牟田市大字唐船字丁地３７７－１,(ｾﾝﾀｰｺｰﾄﾞ:190092),0570-200-000,0942-51-3155,223010,福岡営業所,203,福岡,101,日本,80,福岡,福岡県
70199-19,ヤマト運輸㈱　彦根営業所止メ,522-0026,滋賀県彦根市大堀町３６０－１,(ｾﾝﾀｰｺｰﾄﾞ:063032),0749-24-3851,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70199-23,ヤマト運輸㈱　金光営業所止メ,719-0113,岡山県浅口市金光町佐方１７３－１,(ｾﾝﾀｰｺｰﾄﾞ:070120),0570-200-000,086-277-3989,221010,大阪支店,201,大阪,101,日本,60,岡山,岡山県
70516-14,ヤマト運輸㈱西宇治営業所止メ,611-0043,京都府宇治市伊勢田町砂田１４８－１,(ｾﾝﾀｰｺｰﾄﾞ:162150),0570-200-000,075-604-4863,221010,大阪支店,201,大阪,101,日本,51,京都,京都府
70353-50,ヤマト運輸㈱　福井鯖江営業所止メ,916-0016,福井県鯖江市神中町２丁目４０１－２,(ｾﾝﾀｰｺｰﾄﾞ:046071),0570-200-000,0776-52-2410,225010,滋賀営業所,205,滋賀,101,日本,33,福井,福井県
70199-96,ヤマト運輸㈱　伊賀営業所止メ,518-0823,三重県伊賀市四十九町字鍋澤２６７５－１,(ｾﾝﾀｰｺｰﾄﾞ:055280),0570-200-000,059-329-6177,221010,大阪支店,201,大阪,101,日本,43,三重,三重県
70405-17,ヤマト運輸㈱名張営業所止メ,518-0603,三重県名張市西原町字井之上５０－１,(ｾﾝﾀｰｺｰﾄﾞ:055300),0570-200-000,059-329-6177,221010,大阪支店,201,大阪,101,日本,43,三重,三重県
70404-90,ヤマト運輸㈱　名張営業所止メ,518-0603,三重県名張市西原町字井之上５０－１,(ｾﾝﾀｰｺｰﾄﾞ:055303),0570-200-000,059-329-6177,221010,大阪支店,201,大阪,101,日本,43,三重,三重県
70405-56,ヤマト運輸㈱　伊丹有岡営業所止メ,664-0831,兵庫県伊丹市森本１－２１２,(ｾﾝﾀｰｺｰﾄﾞ:061851),0570-200-000,06-6419-6174,221010,大阪支店,201,大阪,101,日本,55,兵庫,兵庫県
70500-01,ヤマト運輸㈱福知山南営業所止メ,620-0848,京都府福知山市字長田市の谷２１０１,(ｾﾝﾀｰｺｰﾄﾞ:062823),0570-200-000,075-633-2660,222010,広島営業所,202,広島,101,日本,51,京都,京都府
70199-22,ヤマト運輸㈱　東近江営業所止メ,527-0024,滋賀県東近江市札の辻２－１０－１４,(ｾﾝﾀｰｺｰﾄﾞ:063020),077-551-1721,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70199-55,ヤマト運輸㈱　栗東営業所止メ,520-3045,滋賀県栗東市高野岩畑748,(ｾﾝﾀｰｺｰﾄﾞ:063051),077-551-1721,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70446-07,ヤマト運輸㈱　甲賀東営業所止メ,520-3307,滋賀県甲賀市甲南町野尻４１７－１,(ｾﾝﾀｰｺｰﾄﾞ:063063),0570-200-000,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70353-95,ヤマト運輸㈱　高島営業所（安曇川）止メ,520-1231,滋賀県高島市安曇川町川島１１２３－２,(ｾﾝﾀｰｺｰﾄﾞ:063071),0570-200-000,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70516-15,ヤマト運輸㈱　近江八幡営業所止メ,523-0816,滋賀県近江八幡市西庄町２００９,(ｾﾝﾀｰｺｰﾄﾞ:063092),0570-200-000,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70418-02,ヤマト運輸㈱　高島営業所（今津）止メ,520-1623,滋賀県高島市今津町住吉２丁目１番１１,(ｾﾝﾀｰｺｰﾄﾞ:063130),0570-200-000,077-553-9810,225010,滋賀営業所,205,滋賀,101,日本,50,滋賀,滋賀県
70405-11,ヤマト運輸㈱　奈良五條営業所止メ,637-0004,奈良県五條市今井４－３－４１,(ｾﾝﾀｰｺｰﾄﾞ:064030),0570-200-000,0743-56-6122,221010,大阪支店,201,大阪,101,日本,52,奈良,奈良県
70199-74,ヤマト運輸㈱　香芝営業所（二上山）止メ,639-0271,奈良県葛城市加守字堂ヶ谷１３６５－４,(ｾﾝﾀｰｺｰﾄﾞ:064071),0570-200-000,0743-56-6122,221010,大阪支店,201,大阪,101,日本,52,奈良,奈良県
70516-13,ヤマト運輸㈱香芝営業所止メ,639-0271,奈良県葛城市加守字堂ヶ谷１３６５－４,(ｾﾝﾀｰｺｰﾄﾞ:064073),0570-200-000,0743-56-6122,221010,大阪支店,201,大阪,101,日本,52,奈良,奈良県
70200-08,ヤマト運輸㈱　奈良平城営業所止メ,631-0811,奈良県奈良市秋篠町平田９３－１,(ｾﾝﾀｰｺｰﾄﾞ:064080),0570-200-000,0743-56-6122,221010,大阪支店,201,大阪,101,日本,52,奈良,奈良県
70516-33,ヤマト運輸㈱　大和高田営業所止メ,639-2113,奈良県葛城市北花内口ノ町６２１,(ｾﾝﾀｰｺｰﾄﾞ:064112),0570-200-000,0743-56-6122,221010,大阪支店,201,大阪,101,日本,52,奈良,奈良県
70516-27,ヤマト運輸㈱北葛城営業所（広陵）止メ,635-0811,奈良県北葛城郡広陵町大字弁財天字二ノ坪１４４－１,(ｾﾝﾀｰｺｰﾄﾞ:064162）,0570-200-000,0743-56-6122,221010,大阪支店,201,大阪,101,日本,52,奈良,奈良県
70525-00,ヤマト運輸㈱　和歌山東営業所止メ,640-8323,和歌山県和歌山市太田字神ノ畔１１９－１,(ｾﾝﾀｰｺｰﾄﾞ:065370),0570-200-000,073-499-4572,221010,大阪支店,201,大阪,101,日本,53,和歌山,和歌山県
