客先№,会社名,TEL,FAX,地区名,〒,住所
00017-02,旭モールディング㈱　川口工場,048-223-5422,,埼玉,332-0002,埼玉県川口市弥平町４－１０－１３
00017-03,旭モールディング㈱　茨城工場,0280-84-0092,0280-84-0912,茨城,306-0306,茨城県猿島郡五霞町原宿台１－１１７８
00018-00,旭モールディング㈱　茨城工場＊,0280-84-0092,,茨城,306-0306,茨城県猿島郡五霞町原宿台１－１１７８
00019-00,安部製作所,0283-62-5365,,栃木,327-0307,栃木県佐野市岩崎町１３１１
00020-00,アサヒ合成樹脂㈱,0287-23-6111,0287-23-4148,栃木,324-0021,栃木県大田原市若草１－１４７５
00022-00,新井プラスチック㈱,0429-48-0090,0429-49-6838,埼玉,359-1164,埼玉県所沢市三ケ島９３
00023-00,亜細亜合成㈱,03-3893-8787,03-3893-8753,東京,116-0011,東京都荒川区西尾久７－２７－１
00024-00,安藤工業,0489-57-1672,,埼玉,341-0001,埼玉県三郷市彦糸１－５６
00025-00,会田製作所,0489-96-2585,,埼玉,340-0802,埼玉県八潮市鶴ケ曽根１８１１
00026-00,安藤製作所,045-542-4750,,神奈川,223-0052,神奈川県横浜市港北区綱島東６－１０－５
00027-00,新井樹脂工業所,0270-62-8500,0270-62-8700,群馬,379-2212,群馬県伊勢崎市堀下町３４３－１
00028-00,足立成型,03-3890-8204,,東京,123-0872,東京都足立区江北１－１４－１
00029-00,㈱ＣＫＦ　福島工場,024-593-3251,024-593-5061,福島,960-2156,福島県福島市荒井字山道１１－１
00030-00,阿部製作所,0554-66-2526,,山梨,409-0136,山梨県上野原市桑久保８９８－２
00031-00,㈱新井製作所,048-794-2136,,埼玉,339-0072,埼玉県さいたま市岩槻区大字古ケ場字白根６０２－１
00032-00,アークリ成型機サービス㈱,03-3694-6597,,東京,124-0006,東京都葛飾区堀切４－２３－６
00033-00,アポロン音楽工業㈱,0426-51-6859,,東京,144-0043,東京都大田区羽田４－３－１０
00034-00,明石機工㈱,03-3273-1316,,東京,103-0027,東京都中央区日本橋２－１０－１１（織正ビル）
00035-00,㈱曙産業,0256-63-5071,0256-64-2288,新潟,959-1234,新潟県燕市南１－２－１１
00035-01,㈱曙産業　第二工場,0256-64-8111,0256-64-8112,新潟,959-1234,新潟県燕市南５－１１－３６
00036-00,葵精機㈱,044-833-1481,,神奈川,213-0031,神奈川県川崎市高津区宇奈根７５２－１
00037-00,厚木自動車部品工業㈱,046-222-1111,,神奈川,243-0032,神奈川県厚木市恩名１３７０
00038-00,㈱アステムエンジニアリング,03-3332-1033,,東京,168-0081,東京都杉並区宮前４－２４－２１
00039-00,相原製作所,03-3894-6003,,東京,116-0013,東京都荒川区西日暮里６－１８－１３
00040-00,新井製作所,044-433-4446,,神奈川,211-0024,神奈川県川崎市中原区西加瀬２７９
00041-00,アヤセ工業㈱,0467-78-7361,,神奈川,252-1103,神奈川県綾瀬市深谷６６０６－２３
00042-00,葵樹脂,0426-22-1411,,東京,192-0015,東京都八王子市中野町９３５
00043-00,㈱厚木化学,046-228-4528,046-228-4538,神奈川,243-0021,神奈川県厚木市岡田４－２７－４１
00043-01,㈱厚木化学　第２工場,046-228-2638,,神奈川,243-0021,神奈川県厚木市岡田４－２７－３２
00044-00,愛光工業㈱,0473-23-1161,,千葉,272-0033,千葉県市川市市川南４－４－７
00045-00,荒木製作所,03-3654-3789,,東京,132-0021,東京都江戸川区中央４－１９－２５
00046-00,東プラスチック,03-3822-0656,,東京,116-0013,東京都荒川区西日暮里３－６－６
00047-00,東興業㈱,03-3814-3751,,東京,112-0005,東京都文京区水道２－５－１２
00047-01,東興業㈱　小田原工場,0465-47-8171,,神奈川,250-0861,神奈川県小田原市桑原５１０
00048-00,㈱アポロ化成,0426-51-6859,0426-51-6819,東京,193-0822,東京都八王子市弐分方町３６６番地
00049-00,アルト工業,03-3786-0727,,東京,142-0063,東京都品川区荏原４－１７－１７
00050-00,東金属産業㈱,03-3764-6411,,東京,143-0015,東京都大田区大森西７－５－１５
00050-01,東金属産業㈱　沼津工場,0559-62-7701,,静岡,410-0022,静岡県沼津市大岡御供田１２８５
00051-00,あがた鉄工所,0537-73-2165,,静岡,437-1521,静岡県菊川市上平川１９３－１
00052-00,青木工業,03-3573-4781,,東京,100-0006,東京都千代田区有楽町２－２（隆和ビル）
00053-00,安藤工業,045-592-7726,045-592-7730,神奈川,224-0025,神奈川県横浜市都筑区早渕３丁目４０番１９号
00056-00,㈱旭精器製作所　本社,03-3853-1211,,東京,121-0831,東京都足立区舎人２－１６－２１
00057-00,アベ化成,03-3494-0292,,東京,141-0031,東京都品川区西五反田５－８－１０
00058-00,㈱朝日プラスチック,045-593-2121,,神奈川,223-0056,神奈川県横浜市港北区新吉田町４００８－１
00059-00,旭ケ丘樹脂,0268-82-3609,0268-82-8512,長野,389-0601,長野県埴科郡坂城町大字坂城６１０９－５
00060-00,㈱アイアール,0562-92-1133,,愛知,470-1141,愛知県豊明市阿野町川之内１０２
00061-00,新井プラスチック工業所,06-6727-7066,,大阪,577-0836,大阪府東大阪市渋川町１－１０－２３
00062-00,㈱アイケー,0283-24-4801,0283-24-8068,栃木,327-0004,栃木県佐野市赤坂町９５２－１５
00062-01,㈱アイケーマシンセンター,0283-24-6871,,栃木,327-0824,栃木県佐野市馬門町北原１８５４－１
00063-01,エイ・シー工業㈱　飯野工場,0565-76-6777,0565-76-3363,愛知,470-0451,愛知県豊田市藤岡飯野町大川ヶ原１１４１－１
00065-00,アズマ合成,0586-86-3327,0586-86-8725,愛知,493-0004,愛知県一宮市木曽川町字玉ノ井四ッ辻西１９番地
00066-00,阿部光吉,0554-66-2021,,山梨,409-0136,山梨県上野原市桑久保９２０
00067-00,旭化工㈱,06-6923-5567,06-6923-7787,大阪,534-0016,大阪府大阪市都島区友渕町３－９－８
00067-02,旭化工㈱　東金工場,0475-50-5031,0475-50-5035,千葉,283-0833,千葉県東金市滝沢字新道下７４３－２
00067-03,旭化工㈱　枚方工場,072-396-9115,072-396-9107,大阪,573-0072,大阪府枚方市茄子作南町1313
00068-00,㈱アイオー・エム,0568-78-4411,0568-78-2261,愛知,485-0821,愛知県小牧市本庄白池７９３－１
00068-00,㈱アイオー・エム,0568-78-4411,,愛知,485-0821,愛知県小牧市本庄白池７９３－１
00068-00,㈱アイオー・エム,0568-78-4411,,愛知,485-0821,愛知県小牧市本庄白池７９３－１
00068-01,㈱エンケ,0568-78-6411,0568-78-2141,愛知,485-0821,愛知県小牧市本庄白池７９３番地１
00069-01,明石化成工業株式会社　小野工場,0794-62-3991,0794-62-4858,兵庫,675-1322,兵庫県小野市匠台２０番地
00070-00,秋山製作所,0274-52-4691,,群馬,370-1406,群馬県藤岡市浄法寺７６２
00071-00,天池化学,0574-54-2660,0574-54-2827,岐阜,501-3301,岐阜県加茂郡富加町３３０７－２
00072-00,㈱アシダ化成,084-951-0064,084-951-0166,広島,720-0093,広島県福山市郷分町１０２５
00074-00,アロン化成株式会社　滋賀工場,0740-22-3881,0740-22-3880,滋賀,520-1605,滋賀県高島市今津町南新保３００
00074-01,アロン化成㈱　尾道工場,0848-48-1600,0848-48-4310,広島,722-0221,広島県尾道市長者原２－１６０－８
00074-02,アロン化成㈱　関東工場,0280-98-1245,0280-98-1134,茨城,306-0206,茨城県古河市丘里１３－３
00074-03,アロン化成㈱　名南工場,052-611-5211,,愛知,455-0027,愛知県名古屋市港区船見町１－１３
00074-04,アロン化成㈱　名古屋工場,052-601-0155,052-601-0159,愛知,476-0005,愛知県東海市新宝町３０番地の２
00074-05,アロン化成㈱　ものづくりセンター,052-601-3651,052-603-2137,愛知,476-0005,愛知県東海市新宝町３０番地の６
00075-00,浅間工業㈱,052-831-4028,,愛知,468-0064,愛知県名古屋市天白区道明町１５
00076-00,愛工業株式会社,054-286-0305,054-283-8600,静岡,422-8033,静岡県静岡市駿河区登呂６－２－５
00076-01,愛工業株式会社　榛原工場,0548-29-1000,0548-29-1004,静岡,421-0411,静岡県牧之原市坂口２３２４
00077-00,朝日理化㈱,0563-52-3368,0563-52-3378,愛知,445-0004,愛知県西尾市西浅井町尾ケ山５－９６
00077-00,朝日理化㈱,0563-52-3368,0563-52-3378,愛知,445-0004,愛知県西尾市西浅井町尾ケ山５－９６
00078-00,㈱アイシン　西尾工場,050-3172-9749,,愛知,445-0801,愛知県西尾市南中根町小割８０
00078-01,㈱アイシン　安城工場,0566-76-9111,0566-76-9134,愛知,446-8524,愛知県安城市三河安城町１丁目１１－２
00078-02,㈱アイシン　本社,0566-24-8441,,愛知,448-8650,愛知県刈谷市朝日町２丁目１番地
00078-03,㈱アイシン　新豊工場,0565-54-8611,0565-54-8340,愛知,473-0921,愛知県豊田市高丘新町天王１
00078-04,㈱アイシン　新豊工場,0565-54-8611,0565-54-8730,愛知,473-0921,愛知県豊田市高丘新町天王１
00078-05,㈱アイシン　新川工場,0566-41-3321,0566-41-5424,愛知,447-0861,愛知県碧南市六軒町４丁目７５番地
00078-06,㈱アイシン　衣浦工場,0566-46-3800,0566-46-6105,愛知,447-0824,愛知県碧南市港南町２丁目８番地１２
00078-12,㈱アイシン　半田工場,0569-24-6710,0569-24-6799,愛知,475-0033,愛知県半田市日東町４番地２９号
00078-18,㈱アイシン,090-6613-2013,,愛知,444-1192,愛知県安城市藤井町高根10番地
00078-19,㈱アイシン　藤岡工場,0565-76-6680,0565-76-4381,愛知,470-0451,愛知県豊田市藤岡飯野町大川原１１４１－１
00079-00,浅野ライト,0568-84-6566,,愛知,486-0801,愛知県春日井市上田楽町２１５５－２
00079-01,浅野ライト（自宅）,0568-83-4144,,愛知,486-0801,愛知県春日井市上田楽町２１５５－２
00080-00,㈱足立ライト工業所,0568-76-8111,,愛知,485-0825,愛知県小牧市下末６３０番地
00081-00,梓プラスチック,0594-22-2632,0594-22-7510,三重,511-0082,三重県桑名市宮通り１９
00083-00,東樹脂製作所,0270-26-1822,,群馬,372-0011,群馬県伊勢崎市三和町１３７４－１
00086-00,浅野プラスチック工業,053-586-9066,,静岡,434-0003,静岡県浜松市浜名区新原４２８８
00087-00,㈱青木固研究所,0268-82-3015,,長野,389-0603,長野県埴科郡坂城町大字南条4963-3
00088-00,愛知電機製作所（技術部）,0568-81-6294,,愛知,486-8520,愛知県春日井市桃山町３－２３
00090-00,㈱旭金属製作所,0790-42-1214,,兵庫,675-2312,兵庫県加西市北条町北条１１１２46310
00091-00,アミノ化学工業㈱,0287-88-2734,,栃木,321-0501,栃木県那須烏山市志鳥３１３４
00091-01,アミノ化学工業㈱,0489-31-3011,048-936-7710,埼玉,340-0004,埼玉県草加市弁天町４－１０－１２
00092-00,㈱アマダ　８７６工場,0463-96-3293,0463-93-7394,神奈川,259-1116,神奈川県伊勢原市石田２００
00092-01,㈱アマダ,046-224-0271,,神奈川,243-0807,神奈川県厚木市金田４７５
00092-03,㈱アマダ　仙台営業所,022-222-5381,,宮城,980-0011,宮城県仙台市青葉区上杉１－１５－２５　（三戸ビル）
00092-04,㈱アマダ　大阪東営業所,06-6799-0131,,大阪,547-0000,大阪府大阪市平野区長吉東１－２－６０
00092-05,㈱アマダ　大阪北営業所,06-6902-6221,,大阪,570-0017,大阪府守口市佐太東１－２３
00094-00,アツタ起業㈱,05613-8-4881,05613-8-4886,愛知,470-0162,愛知県愛知郡東郷町大字春木字小坂５２
00095-00,赤羽製作所,0268-42-2979,0268-42-2979,長野,386-0407,長野県上田市長瀬３２０２
00096-00,㈱浅間製作所,0566-92-3832,0566-92-3844,愛知,444-1211,愛知県安城市根崎町東新切１６
00096-03,㈱ＡＳＭ,0566-45-2070,0566-45-2071,愛知,447-0058,愛知県碧南市住吉町２－５３－１
00097-00,東医工㈱　会津工場,0241-36-3393,,福島,966-0000,福島県喜多方市熱塩加納町字根岸山５０５１
00098-00,アサヒ化学㈱,0566-74-5539,,愛知,446-0025,愛知県安城市古井町北芝崎２６－１
00099-00,アサイ製作所,05628-4-0317,,愛知,470-2102,愛知県知多郡東浦町緒川字西高だわ５６－１１
00100-00,アルテック㈱,03-5542-6754,03-5542-6766,東京,104-0042,東京都中央区入船２－１－１　住友入船ビル２Ｆ
00100-01,アルテック㈱大阪営業所,06-4807-0543,06-4807-0548,大阪,532-0003,大阪府大阪市淀川区宮原３丁目５番３６号新大阪トラストタワー１２階
00101-00,安積工業,0729-62-0555,,大阪,578-0935,大阪府東大阪市若江東町４－５－２７
00103-00,㈱青山製作所,0587-95-1151,0587-95-3839,愛知,480-0198,愛知県丹羽郡大口町高橋一丁目８番地
00103-00,㈱青山製作所,0587-95-1159,,愛知,480-0198,愛知県丹羽郡大口町高橋一丁目８番地
00103-00,㈱青山製作所,0587-95-7457,0587-95-1244,愛知,480-0198,愛知県丹羽郡大口町高橋一丁目８番地
00103-00,㈱青山製作所,0587-95-7457,0587-95-1244,愛知,480-0198,愛知県丹羽郡大口町高橋一丁目８番地
00103-00,㈱青山製作所,0587-95-1256,0587-95-1244,愛知,480-0198,愛知県丹羽郡大口町高橋一丁目８番地
00103-01,㈱青山製作所　製造本部　五条川工場,0587-95-5760,0587-95-5960,愛知,480-0145,愛知県丹羽郡大口町丸二丁目６２番地
00103-01,㈱青山製作所　製造本部　五条川工場,0587-95-5760,0587-95-5960,愛知,480-0145,愛知県丹羽郡大口町丸二丁目６２番地
00103-02,㈱青山製作所　茨城工場,029-272-4335,029-270-1136,茨城,312-0036,茨城県ひたちなか市津田東二丁目１番地１
00103-03,㈱青山製作所　中津川工場,0573-45-3531,0573-45-2572,岐阜,509-8301,岐阜県中津川市蛭川字新田5269番地の1
00104-00,青柳直喜,0553-44-2756,,山梨,409-1304,山梨県甲州市勝沼町休息２００６
00105-00,ベストプラスチック,0276-38-2454,0276-38-2791,群馬,373-0826,群馬県太田市古戸町１０９０－１
00106-00,グロ－バル商事㈱,0569-23-6738,0569-22-9134,愛知,475-0828,愛知県半田市瑞穂町２丁目４番地３１
00107-00,青野樹脂工業㈱,052-876-0287,052-877-0650,愛知,458-0818,愛知県名古屋市緑区鳴海町字大清水２１－５
00108-00,有賀工業㈱,0267-67-5681,0267-67-5682,長野,385-0011,長野県佐久市猿久保５８７
00109-00,東洋ポリマー㈱,048-725-2311,048-725-5953,埼玉,362-0059,埼玉県上尾市平方領家６６２－１
00111-00,淡路精工,0799-22-7006,0799-24-2733,兵庫,656-0046,兵庫県洲本市金屋３１２－５
00112-00,㈱足立商店,0256-63-2537,0256-64-5164,新潟,959-1277,新潟県燕市物流センタ－１丁目１０
00113-00,㈱デンソー　湖西製作所,053-572-3311,,静岡,431-0493,静岡県湖西市梅田３９０
00113-02,㈱デンソー　豊橋東製作所,0532-41-7111,0532-41-7105,愛知,441-3111,愛知県豊橋市原町字南山１－３２３
00113-03,㈱デンソー宮崎,0985-75-1236,0985-75-1226,宮崎,880-1113,宮崎県東諸県郡国富町大字木脇４１８８
00113-10,㈱デンソー　高岡工場,0565-51-3727,,愛知,473-0933,愛知県豊田市高岡町東浦８５－２　サンエイ流通センター内　　　　　　　　　　　
00114-00,旭工業,072-332-1123,072-332-1132,大阪,580-0002,大阪府松原市小川５丁目１５―７
00115-01,厚見プラスチックス工業,0575-23-3241,0575-23-3314,岐阜,501-3911,岐阜県関市肥田瀬新蕨野３６７１番地
00116-00,㈱浅井精密,0582-79-1158,,岐阜,501-6122,岐阜県岐阜市柳津町高桑東３丁目２８番地
00116-01,浅井精密,0583-92-7916,,岐阜,501-6236,岐阜県羽島市江吉良町１５５３
00118-00,アサシナプラスチック,0267-58-2092,,長野,384-2104,長野県佐久市甲３０９－１
00119-00,白鳥恵那愛知電機㈱　恵那工場,0574-49-2201,0574-45-1118,岐阜,505-0422,岐阜県加茂郡八百津町久田見８５０　
00119-00,白鳥恵那愛知電機㈱　恵那工場,0573-22-3311,,岐阜,505-0422,岐阜県加茂郡八百津町久田見８５０　
00119-00,白鳥恵那愛知電機㈱　恵那工場,0574-49-2201,0574-45-1118,岐阜,505-0422,岐阜県加茂郡八百津町久田見８５０　
00119-01,恵那愛知電機㈱,0573-22-3311,0573-22-3309,岐阜,509-8232,岐阜県恵那市飯地町字岡田１７８０
00121-00,㈱東製作所,0729-64-3266,0729-65-1656,大阪,578-0973,大阪府東大阪市東鴻池町２－３－２９
00122-00,安藤製作所,0554-22-0638,,山梨,401-0000,山梨県大月市猿橋町４３０
00124-00,朝日工業㈱,0532-41-2111,,愛知,441-3192,愛知県豊橋市原町字蔵社８８
00125-00,浅井工業㈱,0583-92-7916,,岐阜,501-6236,岐阜県羽島市江吉良新田１５５３
00135-00,網野ゴム工業,0287-88-2734,0287-88-9475,栃木,321-0501,栃木県那須烏山市志鳥３１３４
00137-00,㈱浅間化工,045-543-5438,,神奈川,222-0001,神奈川県横浜市港北区樽町４－１４－３６
00138-00,朝日電機㈱　大宮工場,048-624-5521,,埼玉,331-0058,埼玉県さいたま市西区飯田４２７
00139-00,安部化工,0467-46-7705,0467-46-7165,神奈川,247-0051,神奈川県鎌倉市岩瀬１１３１－９
00141-01,ネクサス化成㈱,0796-52-5681,0796-52-5740,兵庫,668-0241,兵庫県豊岡市出石町寺坂１０００
00141-02,ネクサス㈱　南関工場,0968-53-8181,0968-53-8677,熊本,861-0821,熊本県玉名郡南関町下坂下１６８３－４
00141-03,ネクサスエンジニアリング㈱,0968-53-9321,0968-53-8668,熊本,861-0821,熊本県玉名郡南関町下坂下１６８３－４
00143-00,ニッタ化工品株式会社　綾部工場,0773-47-0221,0773-47-0404,京都,623-0222,京都府綾部市栗町沢１１５番地
00147-00,（有）青木プラスチック工業所,0748-72-2148,0748-72-2199,滋賀,520-3253,滋賀県湖南市正福寺１４８８番地
00150-00,株式会社浅田プラスチック,0721-24-3517,0721-24-8540,大阪,584-0025,大阪府富田林市若松町西２－１４２０
00153-00,㈱朝田,06-6727-8172,,大阪,577-0827,大阪府東大阪市衣摺６－５－１１
00156-00,有平化成工業所,077-586-1860,077-588-2937,滋賀,520-2342,滋賀県野洲市野洲１３００
00157-00,有帆樹脂,0836-34-3941,,山口,755-0057,山口県宇部市大字藤曲八の我２３６６－３
00158-00,秋田柳下精工㈱,0186-29-2851,,秋田,017-0204,秋田県鹿角郡小坂町荒谷字三ッ森６１－１
00160-00,アヅマ合成樹脂,0463-21-4096,0463-21-4036,神奈川,254-0032,神奈川県平塚市八千代町１９－２５
00161-00,アルファ化成工業所,06-6757-2677,06-6757-7400,大阪,544-0005,大阪府大阪市生野区中川２－１４－１６
00163-00,㈱天木鉄工,0584-81-1155,,岐阜,503-0014,岐阜県大垣市領家町１－４３
00163-01,㈱天木鉄工　大野工場,0585-35-2770,,岐阜,501-0504,岐阜県揖斐郡大野町大字野字広坂２３８５
00164-00,アスカ産業㈱,0948-52-1125,0948-52-1632,福岡,821-0011,福岡県嘉麻市下山田６８－４２
00165-00,ミツミ電機㈱秋田事業所＊,0188-77-7333,0188-77-5879,秋田,018-1504,秋田県潟上市飯田川飯塚字上提敷９５－２
00166-00,吾妻精器,0426-65-5912,,東京,193-0831,東京都八王子市並木町３７－１３
00167-00,秋田印刷㈱,0568-73-3101,0568-72-1110,愛知,485-0041,愛知県小牧市小牧４丁目２６９
00169-00,㈱ＲＳＥ,052-412-1200,,愛知,453-0862,愛知県名古屋市中村区岩塚町
00170-00,旭工業所,0535-86-2843,,静岡,434-0037,静岡県浜松市浜名区沼６５
00171-00,有明興産,0463-91-3456,0463-91-1358,神奈川,259-1147,神奈川県伊勢原市白根５３７－８
00172-00,アストロニクス㈱,0463-23-2035,,神奈川,254-0014,神奈川県平塚市四之宮５６－２
00174-00,有賀化成工業㈱,0267-62-4634,0267-63-1047,長野,385-0046,長野県佐久市前山１１８
00175-00,吾妻樹脂工業㈱,0296-75-2973,,茨城,309-1221,茨城県桜川市西飯岡２７５
00176-00,朝日合成工業㈱,045-803-1201,,神奈川,245-0016,神奈川県横浜市泉区和泉町１０１０
00177-01,㈱アイテック※,0463-21-9477,0463-21-9478,神奈川,254-0016,神奈川県平塚市東八幡１－７－１
00178-00,阿久津製作所,0485-36-5295,,埼玉,360-0162,埼玉県熊谷市村岡字谷向１７８２－１
00179-00,東工業,0555-22-2891,0555-22-8222,山梨,403-0004,山梨県富士吉田市下吉田３８６７
00179-01,青葉化成,0555-24-7891,,山梨,403-0004,山梨県富士吉田市下吉田仲町１０９０
00181-00,荒牧製作所,0276-31-2666,,群馬,373-0037,群馬県太田市新道９５－３
00182-00,旭化成㈱,03-3507-2563,,東京,100-8440,東京都千代田区有楽町１－１－２ 日比谷三井ビル
00182-01,旭化成㈱,044-271-2675,044-271-2507,神奈川,210-0863,神奈川県川崎市川崎区夜光１－３－１
00182-02,旭化成工業㈱,058-326-4712,,岐阜,501-0222,岐阜県瑞穂市別府２１４２－１
00182-03,旭化成㈱　富士支社,0545-62-3699,0545-62-3268,静岡,416-8501,静岡県富士市鮫島２－１
00183-00,アリイ　ケミカル,048-878-4691,,埼玉,336-0977,埼玉県さいたま市緑区上野田７６－１
00184-00,愛新化成工業所,0276-37-2117,,群馬,373-0015,群馬県太田市東新町７６０
00185-00,㈱アイエッチシー,0245-75-2616,,福島,960-0669,福島県伊達市保原町赤橋７８ー１
00186-00,新井プラスチック,0274-74-2254,0274-74-4697,群馬,370-2212,群馬県甘楽郡甘楽町福島７３３－１
00187-00,㈱旭商工社 栃木営業所＊,0285-53-0411,,栃木,329-0512,栃木県下野市下石橋３９７
00188-00,アルス電子㈱,0243-33-6880,,福島,969-1175,福島県安達郡本宮町字名郷１６－２
00188-01,アルス電子㈱　万世工場,0243-33-2361,,福島,969-1149,福島県安達郡本宮町万世町２４ー１
00189-00,朝倉機工㈱,046-223-1159,046-224-2551,神奈川,243-0812,神奈川県厚木市妻田北１－１－３
00190-00,厚木技研,046-224-1840,046-224-4714,神奈川,243-0815,神奈川県厚木市妻田西２－１６－２０
00191-00,アイキ工業㈱　第一工場,048-421-7483,,埼玉,335-0031,埼玉県戸田市美女木５－１４－１７
00191-01,アイキ工業㈱,048-766-3410,,埼玉,349-0135,埼玉県蓮田市井沼６２０－１８
00192-00,浅香製作所,0285-84-7057,0285-82-5514,栃木,321-4366,栃木県真岡市勝瓜２４５－３
00193-00,有井合成工業所,048-756-2011,048-757-6230,埼玉,339-0056,埼玉県さいたま市岩槻区加倉３－５－１４
00194-00,㈱秋本製作所,047-197-0880,047-197-0881,千葉,270-0223,千葉県野田市岡田５８８－４
00196-01,㈱新井製作所　川本工場,0485-83-3611,,埼玉,369-1104,埼玉県深谷市菅沼６２１
00198-00,㈱アイヤマ,0823-82-7717,0823-82-7920,広島,724-0613,広島県東広島市黒瀬町楢原１６１１－１
00199-00,阿形工業株式会社,0537-73-3313,0537-73-3642,静岡,437-1507,静岡県菊川市赤土１９１０
00200-00,㈱新井コロナ,0255-72-1111,0255-73-7798,新潟,944-0001,新潟県妙高市上百々１丁目１２番１号
00201-00,アルス事業協同組合,0243-33-6880,,福島,969-1175,福島県安達郡本宮町字名郷１６－２
00202-00,㈱新木プラスチック工業所,07617-4-6325,,石川,922-0422,石川県加賀市弓波町口１５０
00203-00,甘利プラスチック工業,0262-43-2660,,長野,381-0043,長野県長野市吉田５－２８－２
00204-00,㈱朝倉製作所,0471-40-8811,0471-35-2311,千葉,277-0805,千葉県柏市大青田八両野７２１－２
00205-00,㈱アンセイ　岡山工場,0865-42-6411,0865-42-6412,岡山,719-0104,岡山県浅口市金光町占見新田１４２－５
00205-01,㈱アンセイ　三重工場,059-268-2301,059-268-2302,三重,514-2302,三重県津市安濃町安濃２２２２
00205-02,㈱アンセイ　本社・本社工場,0562-47-2181,0562-47-2186,愛知,474-8581,愛知県大府市北崎町大島３０
00205-02,㈱アンセイ　本社・本社工場,0562-47-2181,0562-47-2186,愛知,474-8581,愛知県大府市北崎町大島３０
00205-03,㈱アンセイ　第二工場,0562-48-2460,0562-48-2491,愛知,474-0001,愛知県大府市北崎町駒場8-2
00205-03,㈱アンセイ　第二工場,0562-57-1295,0562-48-2549,愛知,474-0001,愛知県大府市北崎町駒場8-2
00207-00,アマリプラスチック工業,0262-43-7878,,長野,381-0043,長野県長野市吉田５－２８－２
00208-00,足立運送,0853-72-0637,0853-72-6642,島根,699-0502,島根県出雲市斐川町荘原町３０４５－１
00209-00,秋田指月㈱,0183-62-1116,0183-62-2920,秋田,012-1115,秋田県雄勝郡羽後町足田字南田３５－２
00211-00,㈱アサヒ,0277-43-2391,,群馬,376-0002,群馬県桐生市境野町７－１８６４－１
00211-01,㈱アサヒ　松原工場,0277-30-3377,,群馬,376-0002,群馬県桐生市境野町７－１８１３－６
00212-00,天野プラスチック工業,0575-24-1753,,岐阜,501-3217,岐阜県関市下有知２７８１
00214-00,㈱アキ工業,0899-75-3437,0899-76-0479,愛媛,791-1112,愛媛県松山市南高井町１２８４－１
00215-00,浅野化学,06-6792-6414,,大阪,547-0001,大阪府大阪市平野区加美北６－３－２３
